DATADATE,COUNTRY,EXHRATE
2016/10/24,GBP,39.64
2016/10/25,GBP,39.48
2016/10/26,GBP,39.32
2016/10/27,GBP,39.47
2016/10/28,GBP,39.38
2016/10/29,GBP,
2016/10/30,GBP,
2016/10/31,GBP,39.31
2016/11/1,GBP,39.56
2016/11/2,GBP,39.57
2016/11/3,GBP,39.72
2016/11/4,GBP,40.08
2016/11/5,GBP,
2016/11/6,GBP,
2016/11/7,GBP,39.97
2016/11/8,GBP,40
2016/11/9,GBP,39.87
2016/11/10,GBP,40.14
2016/11/11,GBP,40.83
2016/11/12,GBP,
2016/11/13,GBP,
2016/11/14,GBP,40.79
2016/11/15,GBP,40.58
2016/11/16,GBP,40.59
2016/11/17,GBP,40.55
2016/11/18,GBP,40.55
2016/11/19,GBP,
2016/11/20,GBP,
2016/11/21,GBP,40.36
2016/11/22,GBP,40.67
2016/11/23,GBP,40.41
2016/11/24,GBP,40.47
2016/11/25,GBP,40.56
2016/11/26,GBP,
2016/11/27,GBP,
2016/11/28,GBP,40.62
2016/11/29,GBP,40.33
2016/11/30,GBP,40.61
2016/12/1,GBP,40.84
2016/12/2,GBP,41.15
2016/12/3,GBP,
2016/12/4,GBP,
2016/12/5,GBP,41.49
2016/12/6,GBP,41.61
2016/12/7,GBP,41.17
2016/12/8,GBP,41.01
2016/12/9,GBP,40.84
2016/12/10,GBP,
2016/12/11,GBP,
2016/12/12,GBP,41
2016/12/13,GBP,41.18
2016/12/14,GBP,41.11
2016/12/15,GBP,40.91
2016/12/16,GBP,40.62
2016/12/17,GBP,
2016/12/18,GBP,
2016/12/19,GBP,40.77
2016/12/20,GBP,40.49
2016/12/21,GBP,40.43
2016/12/22,GBP,40.45
2016/9/1,EUR,35.78
2016/9/2,EUR,35.93
2016/9/3,EUR,
2016/9/4,EUR,
2016/9/5,EUR,35.65
2016/9/6,EUR,35.51
2016/9/7,EUR,35.57
2016/9/8,EUR,35.71
2016/9/9,EUR,35.96
2016/9/10,EUR,35.88
2016/9/11,EUR,
2016/9/12,EUR,36.1
2016/9/13,EUR,36.05
2016/9/14,EUR,36
2016/9/15,EUR,
2016/9/16,EUR,
2016/9/17,EUR,
2016/9/18,EUR,
2016/9/19,EUR,35.52
2016/9/20,EUR,35.59
2016/9/21,EUR,35.51
2016/9/22,EUR,35.72
2016/9/23,EUR,35.54
2016/9/24,EUR,
2016/9/25,EUR,
2016/9/26,EUR,35.76
2016/9/27,EUR,35.79
2016/9/29,EUR,35.63
2016/9/30,EUR,35.53
2016/10/1,EUR,
2016/10/2,EUR,
2016/10/3,EUR,35.64
2016/10/4,EUR,35.48
2016/10/5,EUR,35.63
2016/10/6,EUR,35.62
2016/10/7,EUR,35.42
2016/10/8,EUR,
2016/10/9,EUR,
2016/10/10,EUR,
2016/10/11,EUR,35.57
2016/10/12,EUR,35.42
2016/10/13,EUR,35.34
2016/10/14,EUR,35.32
2016/10/15,EUR,
2016/10/16,EUR,
2016/10/17,EUR,35.32
2016/10/18,EUR,35.31
2016/10/19,EUR,35.1
2016/10/20,EUR,35.06
2016/10/21,EUR,34.86
2016/10/22,EUR,
2016/10/23,EUR,
2016/10/24,EUR,34.94
2016/10/25,EUR,34.82
2016/10/26,EUR,34.91
2016/10/27,EUR,34.96
2016/10/28,EUR,34.97
2016/10/29,EUR,
2016/10/30,EUR,
2016/10/31,EUR,35.05
2016/11/1,EUR,35.12
2016/11/2,EUR,35.4
2016/11/3,EUR,35.44
2016/11/4,EUR,35.37
2016/11/5,EUR,
2016/11/6,EUR,
2016/11/7,EUR,35.31
2016/11/8,EUR,35.28
2016/11/9,EUR,35.37
2016/11/10,EUR,34.98
2016/11/11,EUR,35.12
2016/11/12,EUR,
2016/11/13,EUR,
2016/11/14,EUR,34.92
2016/11/15,EUR,34.76
2016/11/16,EUR,34.55
2016/11/17,EUR,34.56
2016/11/18,EUR,34.36
2016/11/19,EUR,
2016/11/20,EUR,
2016/11/21,EUR,34.46
2016/11/22,EUR,34.33
2016/11/23,EUR,34.3
2016/11/24,EUR,34.1
2016/11/25,EUR,34.26
2016/11/26,EUR,
2016/11/27,EUR,
2016/11/28,EUR,34.34
2016/11/29,EUR,34.2
2016/11/30,EUR,34.32
2016/12/1,EUR,34.29
2016/12/2,EUR,34.51
2016/12/3,EUR,
2016/12/4,EUR,
2016/12/5,EUR,34.37
2016/12/6,EUR,34.82
2016/12/7,EUR,34.63
2016/12/8,EUR,34.63
2016/12/9,EUR,34.22
2016/12/10,EUR,
2016/12/11,EUR,
2016/12/12,EUR,34.11
2016/12/13,EUR,34.3
2016/12/14,EUR,34.29
2016/12/15,EUR,33.91
2016/12/16,EUR,33.83
2016/12/17,EUR,
2016/12/18,EUR,
2016/12/19,EUR,33.89
2016/12/20,EUR,33.71
2016/12/21,EUR,33.76
2016/12/22,EUR,33.87
2016/9/1,CAD,24.77
2016/9/2,CAD,24.74
2016/9/3,CAD,
2016/9/4,CAD,
2016/9/5,CAD,24.82
2016/9/6,CAD,24.61
2016/9/7,CAD,24.58
2016/9/8,CAD,24.51
2016/9/9,CAD,24.53
2016/9/10,CAD,24.69
2016/9/11,CAD,
2016/9/12,CAD,24.46
2016/9/13,CAD,24.37
2016/9/14,CAD,24.19
2016/9/15,CAD,
2016/9/16,CAD,
2016/9/17,CAD,
2016/9/18,CAD,
2016/9/19,CAD,24.15
2016/9/20,CAD,24.39
2016/9/21,CAD,24.45
2016/9/22,CAD,24.18
2016/9/23,CAD,24.13
2016/9/24,CAD,
2016/9/25,CAD,
2016/9/26,CAD,24.15
2016/9/27,CAD,24.44
2016/9/29,CAD,24.22
2016/9/30,CAD,24.25
2016/10/1,CAD,
2016/10/2,CAD,
